<meta-data>
nrMolecules = 5740
nrFoodSet   = 48
nrReactions = 6039

<molecules>
H2O; Water	C00001
HCO3-; Hydrogencarbonate; Bicarbonate; Hydrogen carbonate; Acid carbonate	C00288
H+; Hydron	C00080
Diphosphate; Diphosphoric acid; Pyrophosphate; Pyrophosphoric acid; PPi	C00013
Iron	C00023
Acceptor; Hydrogen-acceptor; A; Oxidized donor	C00028
Reduced acceptor; AH2; Hydrogen-donor; Donor	C00030
Metal	C00050
Sulfur; S; Elemental sulfur	C00087
Hydrogen sulfide; Hydrogen-sulfide; H2S; Sulfide	C00283
Acetate; Acetic acid; Ethanoic acid	C00033
Formate; Methanoic acid; Formic acid	C00058
Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	C00022
Methanol; Methyl alcohol; CH3OH	C00132
CO; Carbon monoxide	C00237
Adenine; 6-Aminopurine	C00147
Guanine; 2-Amino-6-hydroxypurine	C00242
Cytosine	C00380
Thymine; 5-Methyluracil	C00178
Uracil	C00106


<reactions>
R02124	C00473 + C00003 <=> C00376 + C00004 + C00080	(Flavins Hemes C00038 C14818 C14819)&NADs	1.0
R00623	C00226 + C00003 <=> C00071 + C00004 + C00080	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R00754	C00469 + C00003 <=> C00084 + C00004 + C00080	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R02878	C00756 + C00003 <=> C01545 + C00004 + C00080	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R00624	C01612 + C00003 <=> C01450 + C00004 + C00080	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R04805	C05444 + C00003 <=> C05445 + C00004 + C00080	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R04880	C05576 + C00003 <=> C05577 + C00004 + C00080	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R05233	C06611 + C00003 => C06613 + C00004 + C00080	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R05234	C06612 + C00003 => C16348 + C00004 + C00080	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R06917	C14089 + C00003 => C14090 + C00004 + C00080	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R06927	C02909 + C00003 => C14099 + C00004 + C00080	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R07105	C06899 + C00004 + C00080 => C07490 + C00003 + C00001	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R08281	C07645 + C00004 + C00080 => C16551 + C00003	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R08306	C16586 + C00003 => C16587 + C00004 + C00080	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R08310	C16595 + C00003 => C16596 + C00004 + C00080	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R08557	C00114 + C00003 => C00576 + C00004 + C00080	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R08558	C00114 + C00006 => C00576 + C00005 + C00080	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R10783	C16310 + C00004 + C00080 => C08492 + C00003	(Flavins C00038 Hemes C14818 C14819)&NADs	1.0
R01465	C00188 + C00003 => C03508 + C00004 + C00080	(C01413 C00175 C00038)&NADs	1.0
R00421	C00043 + 2 C00003 + C00001 => C04573 + 2 C00004 + 2 C00080	(C01342 C00238)&NADs	1.0
R03945	C02452 + C00003 => C02576 + C00004 + C00080	(IronSulfurClusters C00038)&NADs	1.0
R02377	C05979 + C00003 => C00479 + C00004 + C00080	(C14818 C14819)&NADs	1.0
R03119	C02457 + C00003 => C00969 + C00004 + C00080	(C14818 C14819)&NADs	1.0
R01158	C00860 + 2 C00003 + C00001 => C00135 + 2 C00004 + 2 C00080	(C19610 C00038)&C00018&NADs	1.0
R01163	C01929 + C00001 + C00003 => C00135 + C00004 + C00080	(C19610 C00038)&C00018&NADs	1.0
R03012	C00860 + C00003 => C01929 + C00004 + C00080	(C19610 C00038)&C00018&NADs	1.0
R02413	C00493 + C00006 <=> C02637 + C00005 + C00080	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs	1.0
R05679	C00623 + C00003 => C00111 + C00004 + C00080	(C19609 C00038)&NADs	1.0
R05680	C00623 + C00006 => C00111 + C00005 + C00080	(C19609 C00038)&NADs	1.0
R05681	C06055 + C00003 => C07335 + C00004 + C00080	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs	1.0
R05837	C06055 + C00003 <=> C11638 + C00004 + C00080 + C00011	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs	1.0
R05688	C11434 + C00006 => C11437 + C00005 + C00080	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs	1.0
R01773	C00263 + C00003 <=> C00441 + C00004 + C00080	(C00018 C19610 C00305)&NADs	1.0
R01775	C00263 + C00006 <=> C00441 + C00005 + C00080	(C00018 C19610 C00305)&NADs	1.0
R09544	C19674 + C00003 <=> C00231 + C00004 + C00080	(C00038 C19610)&NADs	1.0
R09478	C06451 + C00003 => C03167 + C00004 + C00080	(C14818 C14819)&NADs	1.0
R00342	C00149 + C00003 <=> C00036 + C00004 + C00080	(C00038 C19610 C00305)&NADs	1.0
R07136	C11537 + C00003 <=> C05528 + C00004 + C00080	(C00038 C19610 C00305)&NADs	1.0
R00214	C00149 + C00003 <=> C00022 + C00011 + C00004 + C00080	(C00038 C19610 C00305)&NADs	1.0
R02946	C03044 + C00003 <=> C00810 + C00004 + C00080	(C19610 C00038 C00305)&NADs	1.0
R00216	C00149 + C00006 <=> C00022 + C00011 + C00005 + C00080	(C19610 C00305)&NADs	1.0
R11724	C21585 + C00003 <=> C00111 + C00004 + C00011 + C00080	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs	1.0
R11726	C03393 + C00003 <=> C00111 + C00011 + C00004 + C00080	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs	1.0
R00267	C00311 + C00006 <=> C00026 + C00011 + C00005 + C00080	(C19610 C00305)&NADs	1.0
R01899	C00311 + C00006 <=> C05379 + C00005 + C00080	(C19610 C00305)&NADs	1.0
R01034	C00116 + C00003 <=> C00184 + C00004 + C00080	(C19610 C00038 C00305)&NADs	1.0
R10715	C00424 + C00003 <=> C00546 + C00004 + C00080	(C19610 C00038 C00305)&NADs	1.0
R10717	C00583 + C00003 => C05235 + C00004 + C00080	(C19610 C00038 C00305)&NADs	1.0
R01644	C00989 + C00003 <=> C00232 + C00004 + C00080	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs	1.0
R01781	C01380 + C00003 <=> C00266 + C00004 + C00080	(C14818 C14819)&NADs	1.0
R02257	C00583 + C00003 <=> C00424 + C00004 + C00080	(C14818 C14819)&NADs	1.0
R02258	C02917 + C00003 <=> C00424 + C00004 + C00080	(C14818 C14819)&NADs	1.0
R03080	C02912 + C00003 <=> C00937 + C00004 + C00080	(C14818 C14819)&NADs	1.0
R00215	C00497 + C00003 <=> C00022 + C00011 + C00004 + C00080	(C19610 C00305 C00238)&NADs	1.0
R00994	C00109 + C00011 + C00004 + C00080 <=> C06032 + C00003	(C19610 C00305)&NADs	1.0
R04426	C04411 + C00003 <=> C04236 + C00004 + C00080	(C19610 C00305)&NADs	1.0
R10052	C04411 + C00003 => C00233 + C00011 + C00004 + C00080	(C19610 C00305)&NADs	1.0
R01934	C05662 + C00003 <=> C00322 + C00011 + C00004 + C00080	(C19610 C00305)&NADs	1.0
R04862	C05662 + C00003 => C05533 + C00004 + C00080	(C19610 C00305)&NADs	1.0
R02545	C00552 + C00003 <=> C03459 + C00004 + C00080	(C19610 C00305)&C00238&NADs	1.0
R06180	C00898 + C00003 <=> C03459 + C00004 + C00080	(C19610 C00305)&C00238&NADs	1.0
R02161	C00390 + 2 C00125 <=> C00399 + 2 C00126 + 2 C00080	(IronSulfurClusters Hemes)&Quinones	1.0
R00090	C00027 + C00004 + C00080 <=> C00003 + 2 C00001	(C14819 Flavins)&NADs	1.0
R02965	C00828 + C00282 <=> C05819	(IronSulfurClusters C19609)&Quinones	1.0
R10390	C00282 + C19692 => C00283 + C19692	(Molybdopterin Flavins)&IronSulfurClusters	1.0
R01768	C00262 + C00003 + C00001 => C00385 + C00004 + C00080	(Molybdopterin IronSulfurClusters Flavins)&NADs	1.0
R02103	C00385 + C00003 + C00001 => C00366 + C00004 + C00080	(Molybdopterin IronSulfurClusters Flavins)&NADs	1.0
R01720	C00253 + C00006 + C00001 => C01020 + C00005 + C00080	(Molybdopterin IronSulfurClusters Flavins)&NADs	1.0
R00519	C00058 + C00003 <=> C00080 + C00011 + C00004	(Molybdopterin&IronSulfurClusters IronSulfurClusters)&NADs	1.0
R05875	2 C00138 + C00003 + C00080 <=> 2 C00139 + C00004	(C00305 IronSulfurClusters)&Flavins&NADs	1.0
R01172	C01412 + C00010 + C00003 => C00136 + C00004 + C00080	(C14818 C14819)&NADs&C00010	1.0
R00228	C00084 + C00010 + C00003 <=> C00024 + C00004 + C00080	(C14818 C14819)&NADs&C00010	1.0
R02450	C02137 + C00010 + C00003 => C00512 + C00011 + C00004 + C00080	(IronSulfurClusters Flavins)&NADs&C00010	1.0
R01061	C00118 + C00009 + C00003 <=> C00236 + C00004 + C00080	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs	1.0
R01063	C00118 + C00009 + C00006 <=> C00236 + C00005 + C00080	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs	1.0
R00740	C00222 + C00010 + C00006 => C00083 + C00005 + C00080	(C19610 C00305)&NADs&C00010	1.0
R02565	C00576 + C00003 + C00001 => C00719 + C00004 + 2 C00080	(Flavins C00238)&NADs	1.0
R02566	C00576 + C00006 + C00001 => C00719 + C00005 + 2 C00080	(Flavins C00238)&NADs	1.0
R09484	C00609 + C00229 + C00003 <=> C20683 + C00004 + C00080	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs	1.0
R09485	C00609 + C00229 + C00006 <=> C20683 + C00005 + C00080	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs	1.0
R01699	C00022 + C15972 <=> C16255 + C00011	(C00305 Flavins C16241)&C00068	1.0
R03270	C05125 + C15972 => C16255 + C00068	(C00305 Flavins C16241)&C00068	1.0
R11168	C00237 + C15602 + C00001 <=> C00011 + C15603	(Molybdopterin&C00070 Flavins IronSulfurClusters)&Quinones	1.0
R00977	C00429 + C00003 <=> C00106 + C00004 + C00080	(IronSulfurClusters Flavins)&NADs	1.0
R01414	C00906 + C00003 <=> C00178 + C00004 + C00080	(IronSulfurClusters Flavins)&NADs	1.0
R11026	C21028 + C00003 <=> C00178 + C00004 + C00080	(IronSulfurClusters Flavins)&NADs	1.0
R01868	C00337 + C15602 <=> C00295 + C15603	(C00018 IronSulfurClusters Flavins)&Quinones	1.0
R02164	C15602 + C00042 <=> C15603 + C00122	(Hemes Flavins IronSulfurClusters)&Quinones	1.0
R00145	C05167 + C00001 + C00003 <=> C00161 + C00014 + C00004 + C00080	(C19610 C00305)&NADs	1.0
R00146	C05167 + C00001 + C00006 <=> C00161 + C00014 + C00005 + C00080	(C19610 C00305)&NADs	1.0
R00365	C00037 + C00001 + C00003 <=> C00048 + C00014 + C00004 + C00080	(C19610 C00305)&NADs	1.0
R00396	C00041 + C00003 + C00001 <=> C00022 + C00014 + C00004 + C00080	(C19610 C00305)&NADs	1.0
R00248	C00025 + C00006 + C00001 <=> C00026 + C00014 + C00005 + C00080	(IronSulfurClusters Flavins)&NADs	1.0
R00114	2 C00025 + C00006 => C00064 + C00026 + C00005 + C00080	(IronSulfurClusters Flavins)&NADs	1.0
R01221	C00037 + C00101 + C00003 => C00143 + C00014 + C00011 + C00004 + C00080	(C00018 C16241 Flavins)&NADs&Folates	1.0
R01224	C00440 + C00006 => C00143 + C00005 + C00080	(C00038 Flavins)&NADs&Folates	1.0
R07168	C00440 + C00003 => C00143 + C00004 + C00080	(C00038 Flavins)&NADs&Folates	1.0
R01220	C00143 + C00006 <=> C00445 + C00005	(C00038 C00238)&NADs&Folates	1.0
R00106	C00005 + 2 C00923 <=> C00006 + 2 C00924 + C00080	(Flavins&Hemes IronSulfurClusters)&NADs	1.0
R05102	C06109 + C00005 <=> C06110 + C00006 + C00080	(Flavins&Hemes IronSulfurClusters)&NADs	1.0
R08539	C00005 + 2 C00996 <=> C00006 + 2 C00999	(Flavins&Hemes IronSulfurClusters)&NADs	1.0
R08551	C03161 + C00005 + C00080 <=> C03024 + C00006	(Flavins&Hemes IronSulfurClusters)&NADs	1.0
R07359	C00005 + C00080 + C15602 <=> C00006 + C15603	(C14818 C14819 Flavins)&Quinones&NADs	1.0
R02964	C00828 + C00080 + C00004 => C05819 + C00003	(C14818 C14819 Flavins)&Quinones&NADs	1.0
R03643	C01628 + C00004 + C00080 <=> C05850 + C00003	(C14818 C14819 Flavins)&Quinones&NADs	1.0
R03816	C02059 + C00004 + C00080 => C03313 + C00003	(C14818 C14819 Flavins)&Quinones&NADs	1.0
R07358	C00004 + C00080 + C15602 <=> C00003 + C15603	(C14818 C14819 Flavins)&Quinones&NADs	1.0
R02163	C00390 + C00003 <=> C00399 + C00004 + C00080	(IronSulfurClusters C00018 Flavins)&Quinones&NADs	1.0
R02166	C00390 + C00028 <=> C00399 + C00030	(IronSulfurClusters C00018)&Quinones	1.0
R00281	C00028 + C00004 + C00080 <=> C00030 + C00003	(C14818 C14819 C00305 Flavins IronSulfurClusters)&NADs	1.0
R00143	C00014 + C00003 + C00001 => C00192 + C00004 + C00080	(Other_clusters&IronSulfurClusters Hemes)&NADs	1.0
R00094	2 C00051 + C00003 <=> C00127 + C00004 + C00080	(C00038 Flavins C14818 C14819)&NADs	1.0
R00115	2 C00051 + C00006 => C00127 + C00005 + C00080	(C00038 Flavins C14818 C14819)&NADs	1.0
R10716	2 C00019 + C20648 <=> 2 C00021 + C20796	(C00175 C00038 C00305)&C00019	1.0
R09543	C00019 + C01209 => C00021 + C19673	(C00018 C00038 C00305)&C00019	1.0
R00597	C00019 + C01977 <=> C00021 + C04157	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00019	1.0
R04190	C00019 + C03306 <=> C00021 + C04311	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00019	1.0
R00945	C00143 + C00037 + C00001 <=> C00101 + C00065	(C00018 C00038)&Folates	1.0
R01226	C00143 + C00141 + C00001 => C00101 + C00966	(C00305 C19610 C19609 C00076 C00175 C00038)&Folates	1.0
R03940	C02430 + C00234 => C00101 + C03294	(C14818 C00305)&Folates	1.0
R01067	C00085 + C00118 => C00279 + C00231	(C00305 C00076 C00175 C19610)&C00068	1.0
R01641	C05382 + C00118 <=> C00117 + C00231	(C00305 C00076 C00175 C19610)&C00068	1.0
R01830	C05345 + C00118 <=> C00279 + C00231	(C00305 C00076 C00175 C19610)&C00068	1.0
R06590	C12214 + C00117 => C12215 + C05382	(C00305 C00076 C00175 C19610)&C00068	1.0
R06861	C00231 + C00068 <=> C13378 + C00118	(C00305 C00076 C00175 C19610)&C00068	1.0
R06863	C05382 + C00068 <=> C13378 + C00117	(C00305 C00076 C00175 C19610)&C00068	1.0
R08165	C00885 + C00026 => C16519 + C00011	(C19610 C00305)&C00068	1.0
R05189	C00040 + C02557 + C00005 + C00080 + C00229 <=> C21392 + C00010 + C00011 + C00006 + C00001	(C00018 C01134)&NADs&C00010	1.0
R11450	C02041 + 4 C02557 + 8 C00005 + 8 C00080 + C00229 <=> C21393 + 5 C00010 + 4 C00011 + 8 C00006 + 4 C00001	(C00018 C01134)&NADs&C00010	1.0
R04365	C00091 + C03972 + C00001 => C00010 + C04462	(C14818 C14819)&C00010	1.0
R00209	C00022 + C00010 + C00003 => C00024 + C00011 + C00004 + C00080	(C00068&C00305 Flavins C16241)&NADs&C00010	1.0
R02569	C00024 + C15973 <=> C00010 + C16255	(Flavins C16241)&C00010	1.0
R05332	C00024 + C06156 => C00010 + C04501	(C00175 C00076 C00305)&C00010	1.0
R01933	C00322 + C00010 + C00003 => C00527 + C00011 + C00004 + C00080	(C00068&C00305 C16241 Flavins)&NADs&C00010	1.0
R08549	C00026 + C00010 + C00003 => C00091 + C00011 + C00004 + C00080	(C00068&C00305 C16241 Flavins)&NADs&C00010	1.0
R02570	C00091 + C15973 <=> C00010 + C16254	(C00068&C00305 C16241)&C00010	1.0
R02571	C00527 + C15973 <=> C00010 + C06157	(C00068&C00305 C16241)&C00010	1.0
R00921	C00100 + C00009 <=> C02876 + C00010	(C19610 C00305)&C00010	1.0
R00230	C00024 + C00009 <=> C00010 + C00227	(C19610 C00305)&C00010	1.0
R00918	C00100 + 6 C00683 + 6 C00005 + 6 C00080 => C03240 + 7 C00010 + 6 C00011 + C00001 + 6 C00006	(C00018 C01134)&NADs&C00010	1.0
R00351	C00158 + C00010 <=> C00024 + C00001 + C00036	(C00175 C19610 C00305)&C00010	1.0
R00472	C00149 + C00010 <=> C00024 + C00001 + C00048	(C19610 C00305)&C00010	1.0
R02065	2 C00353 => C00013 + C03427	(C00305 C00038 C19610)&C00002	1.0
R07270	C03427 <=> C05413 + C00013	(C00305 C00038 C19610)&C00002	1.0
R04218	C03427 <=> C00013 + C05421	(C00305 C00038 C19610)&C00002	1.0
R10177	2 C00353 <=> C05421 + 2 C00013	(C00305 C00038 C19610)&C00002	1.0
R00177	C00002 + C00073 + C00001 => C00009 + C00013 + C00019	(C00305 C00175 C19610)&C00238&C00002	1.0
R04771	C00002 + C05335 + C00001 => C00009 + C00013 + C05691	(C00305 C00175 C19610)&C00238&C00002	1.0
R07916	2 C00353 <=> C05413 + 2 C00013	(C00305 C19610)&C00002	1.0
R03236	C01097 + C00002 <=> C03785 + C00008	(C14818 C19610 C00305)&C00002	1.0
R00756	C00002 + C00085 => C00008 + C00354	(C14818 C19610 C00305)&C00002	1.0
R01843	C00002 + C05382 <=> C00008 + C00447	(C14818 C19610 C00305)&C00002	1.0
R04779	C00002 + C05345 <=> C00008 + C05378	(C14818 C19610 C00305)&C00002	1.0
R01051	C00002 + C00121 <=> C00008 + C00117	(C19610 C00305)&C00002	1.0
R02750	C00673 + C00008 <=> C01801 + C00002	(C19610 C00305)&C00002	1.0
R08572	C00258 + C00002 => C00631 + C00008	(C00038 C00305 C19609 C00076 C00175 C13884 C19610)&C00002	1.0
R10613	C00016 + C19803 <=> C20730 + C00020	(C19610 C00305)&Flavins	1.0
R00185	C00002 + C00212 <=> C00008 + C00020	(C00175 C00305)&C00002	1.0
R00513	C00002 + C00475 => C00008 + C00055	(C00175 C19610 C00305)&C00002	1.0
R00964	C00002 + C00299 => C00008 + C00105	(C00175 C19610 C00305)&C00002	1.0
R01666	C00002 + C00881 => C00008 + C00239	(C00175 C19610 C00305)&C00002	1.0
R00104	C00002 + C00003 => C00008 + C00006	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs&C00002	1.0
R00130	C00002 + C00882 => C00008 + C00010	(C00038 C00305)&C00002&C00010	1.0
R01011	C00002 + C00184 => C00008 + C00111	(C00076 C00305)&C00002	1.0
R00847	C00002 + C00116 => C00008 + C00093	(C00305 Flavins)&C00002	1.0
R01514	C00002 + C00258 => C00008 + C00197	(C00305 C14818 C00076 C00175 C19610)&C00002	1.0
R02971	C00002 + C00831 => C00008 + C01134	(C01342 C00238)&C00002	1.0
R03018	C00002 + C00864 => C00008 + C03492	(C01342 C00238)&C00002	1.0
R04391	C00002 + C04079 => C00008 + C04352	(C01342 C00238)&C00002	1.0
R00174	C00002 + C00250 => C00008 + C00018	(C00038 C00305)&C00002	1.0
R01909	C00002 + C00314 => C00008 + C00627	(C00038 C00305)&C00002	1.0
R02493	C00002 + C00534 => C00008 + C00647	(C00038 C00305)&C00002	1.0
R00760	C00002 + C00095 => C00008 + C00085	(C00038 C00305)&C00002	1.0
R00867	C00002 + C00095 => C00008 + C05345	(C00038 C00305)&C00002	1.0
R03920	C00002 + C02336 => C00008 + C05345	(C00038 C00305)&C00002	1.0
R00200	C00002 + C00022 <=> C00008 + C00074	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00238&C00002	1.0
R00430	C00044 + C00022 <=> C00035 + C00074	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00238	1.0
R00572	C00063 + C00022 <=> C00112 + C00074	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00238	1.0
R00659	C00075 + C00022 <=> C00015 + C00074	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00238	1.0
R00724	C00081 + C00022 <=> C00104 + C00074	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00238	1.0
R01138	C00131 + C00022 <=> C00206 + C00074	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00238	1.0
R01858	C00286 + C00022 => C00361 + C00074	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00238	1.0
R02320	C00201 + C00022 => C00454 + C00074	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00238	1.0
R03471	C00002 + C01279 => C00008 + C04556	(IronSulfurClusters C00305)&C00002	1.0
R01902	C00002 + C00312 <=> C00008 + C06441	(C19610 C00305)&C00002	1.0
R03014	C00002 + C00861 => C00008 + C01131	(C19610 C00305)&C00002	1.0
R03241	C00002 + C01721 => C00008 + C01099	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00002	1.0
R02412	C00002 + C00493 => C00008 + C03175	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00002	1.0
R01131	C00002 + C00294 <=> C00008 + C00130	(C00175 C19610 C00305)&C00002	1.0
R01228	C00002 + C00387 <=> C00008 + C00144	(C00175 C19610 C00305)&C00002	1.0
R02584	C00002 + C00585 <=> C00008 + C01167	(C19610 C00305)&C00002	1.0
R00162	C00002 + C00017 <=> C00008 + C00562	(IronSulfurClusters C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696 Pyrroloquinoline_Quinone)&C00002	1.0
R03632	C00002 + C01609 <=> C00008 + C02729	(IronSulfurClusters C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696 Pyrroloquinoline_Quinone)&C00002	1.0
R00315	C00002 + C00033 <=> C00008 + C00227	(C19610 C00305)&C00002	1.0
R01353	C00002 + C00163 <=> C00008 + C02876	(C19610 C00305)&C00002	1.0
R00239	C00002 + C00025 => C00008 + C03287	(IronSulfurClusters C00305)&C00002	1.0
R02649	C00002 + C00624 => C00008 + C04133	(C00038 C00305)&C00002	1.0
R02184	C00002 + C00404 <=> C00008 + C00404	(C19610 C00305)&C00002	1.0
R00512	C00002 + C00055 <=> C00008 + C00112	(IronSulfurClusters C00038)&C00002	1.0
R01665	C00002 + C00239 <=> C00008 + C00705	(IronSulfurClusters C00038)&C00002	1.0
R01547	C00002 + C00360 <=> C00008 + C00206	(C00038 C00305 C14818 C00175 C19610)&C00002	1.0
R00127	C00002 + C00020 <=> 2 C00008	(C00038 C00305 C14818 C00175 C19610)&C00002	1.0
R04509	C00002 + C04556 => C00008 + C04752	(C00038 C00305)&C00002	1.0
R02094	C00002 + C00364 <=> C00008 + C00363	(C00018 C00038 C00305 Flavins)&C00002	1.0
R02098	C00002 + C00365 <=> C00008 + C01346	(C00018 C00038 C00305 Flavins)&C00002	1.0
R00429	C00002 + C00044 => C00020 + C04494	(C19610 C00305)&C00002	1.0
R00137	C00002 + C00455 <=> C00013 + C00003	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs&C00002	1.0
R03005	C00002 + C01185 <=> C00013 + C00857	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs&C00002	1.0
R00161	C00002 + C00061 => C00013 + C00016	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&Flavins&C00002	1.0
R03035	C00002 + C01134 <=> C00013 + C00882	(C19610 C00305)&C00002	1.0
R00126	C00008 + C00002 => C00009 + C01260	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00002	1.0
R01618	C00224 + C00002 => C00059 + C01260	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00002	1.0
R00435	C00002 + C00046 <=> C00013 + C00046	(IronSulfurClusters C00038 C00305)&C00002	1.0
R10342	2 C00002 <=> 2 C00013 + C20565	(C00175 C19610 C00305)&C00002	1.0
R10463	C00188 + C00002 + C00288 + C00080 <=> C20641 + C00013 + C00001	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00002	1.0
R01078	C01909 + C17023 + 2 C00019 + 2 C05359 + 2 C00080 => C00120 + 2 C00073 + 2 C05198	(C00018 IronSulfurClusters)&C00019	1.0
R10612	C04348 + C00001 => C00149 + C00010	(C00175 C19610 C00305 C00076)&C00010	1.0
R00548	C00061 + C00001 => C00255 + C00009	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&Flavins	1.0
R11173	C21153 + C00001 <=> C00194 + C00009	(C00305 C19610)&Cobalamins	1.0
R00837	C00001 + C00689 => C00031 + C00092	(C00305 C00175 C14818 C19609 C19610)&NADs	1.0
R06113	C00001 + G09795 <=> C00031 + C00092	(C00305 C00175 C14818 C19609 C19610)&NADs	1.0
R00838	C00001 + C02995 => C00031 + C00092	(C00305 C00175 C14818 C19609 C19610)&NADs	1.0
R06115	C00001 + G10519 <=> C00031 + C00092	(C00305 C00175 C14818 C19609 C19610)&NADs	1.0
R00839	C04534 + C00001 => C00031 + C00092	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs	1.0
R05133	C06187 + C00001 => C00530 + C01172	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs	1.0
R05134	C06188 + C00001 => C02323 + C01172	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs	1.0
R06112	G10518 + C00001 <=> C00031 + C00092	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&NADs	1.0
R00669	C00437 + C00001 => C00033 + C00077	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00051	1.0
R09107	C15532 + C00001 => C00033 + C00327	(C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696)&C00051	1.0
R07984	C04226 + 2 C00001 => C16159 + C00014	(C14818 C14819)&C00038	1.0
R01655	C00445 + C00001 <=> C00234 + C00080	(C00038 C00238)&Folates	1.0
R00103	C00003 + C00001 => C00020 + C00455	(C00038 C19610 C00305)&NADs	1.0
R11104	C00004 + C00001 <=> C00020 + C21113	(C00038 C19610 C00305)&NADs	1.0
R00086	C00002 + C00001 => C00008 + C00009	(IronSulfurClusters C00305 C19610 C00038 C00018 C19609 C00070 C00175 C14818)&C00002	1.0
